592;"Букет из орхидей ""Клубничный дайкири""";"<p>гиппеаструм-3шт.</p>
<p>орхидея-3шт.</p>
<p>хризантема кустовая-3шт.</p>
<p>рускус-4шт.</p>
<p>аспидистра-3шт.</p>
<p>робилини-2шт.</p>
<p>аспарагус-3шт.</p>
<p>монстера-2шт.</p>
<p>экзотическая зелень</p>
<p>натуральный декор корилус-1шт.</p>
<p>оформление фетр</p>
<p>&nbsp;</p>";3700
326;"Букет из орхидей ""Лакомка""";"<p>орхидея ванда-7шт.</p>
<p>роза-25шт.</p>
<p>эустома-5шт.</p>
<p>озатамантус-5шт.</p>
<p>рускус-10шт.</p>
<p>фатсия-3шт.</p>
<p>оформление сизаль</p>
<p>&nbsp;</p>";5000
560;"Букет из орхидей ""Мальдивы""";"<p>орхидея-7шт.</p>
<p>альстомерия-5шт.</p>
<p>гвоздика кустовая-7шт.</p>
<p>роза кустовая-3шт.</p>
<p>лимониум-1шт.</p>
<p>рускус-7шт.</p>
<p>робилини-1шт.</p>
<p>экзотическая зелень</p>
<p>упаковка фетр</p>
<p>&nbsp;</p>";3000
308;"Букет из орхидей ""Млечный путь""";"<p>антуриум-3шт.</p>
<p>амарилис-1шт.</p>
<p>орхидея-2шт.</p>
<p>хризантема кустовая-3шт.</p>
<p>альстромерия-3шт.</p>
<p>гвоздика-3шт.</p>
<p>эвкалипт-5шт.</p>
<p>рускус-5шт.</p>
<p>аспидистра-7шт.</p>
<p>монстера-2шт.</p>
<p>экзотическая зелень</p>
<p>упаковка натуральная-сизаль</p>";5500
807;"Букет из орхидей ""Мои мечты""";"<p>орхидея -4шт.</p>
<p>роза-5шт.</p>
<p>эустома-4шт.</p>
<p>хризантема кустовая-1шт.</p>
<p>статица-2шт.</p>
<p>рускус итало-1шт.</p>
<p>аспарагус-1шт.</p>
<p>салал-7шт.</p>
<p>фатсия-2шт.</p>
<p>упаковка сизаль</p>
<p>&nbsp;</p>";2500
847;"Букет из орхидей ""Мулен Руж""";"<p>брассика-3шт.</p>
<p>орхидея-3шт.</p>
<p>роза-3шт.</p>
<p>хризантема кустовая-2шт.</p>
<p>гиперикум-5шт.</p>
<p>лимониум-3шт.</p>
<p>аспидистра-12шт.</p>
<p>фатсия-3шт.</p>
<p>экзотическая зелень</p>
<p>упаковка натуральная</p>
<p>&nbsp;</p>";3200
858;"Букет из орхидей ""Нежные встречи""";"<p>орхидея-1шт.</p>
<p>хризантема кустовая-3шт.</p>
<p>гербера-2шт.</p>
<p>роза одноголовая-6шт.</p>
<p>роза кустовая-3шт.</p>
<p>альстромерия-2шт.</p>
<p>гиперикум-3шт.</p>
<p>лимониум-2шт.</p>
<p>эвкалипт-5шт.</p>
<p>декоративная зелень</p>
<p>упаковка сизаль</p>
<p>&nbsp;</p>";2200
953;"Букет из орхидей ""Осенний джаз""";"<p>орхидея 7шт</p>
<p>роза -10шт</p>
<p>гиперикум -4шт</p>
<p>альстромерия -8шт</p>
<p>эустома -4шт</p>
<p>эвкалипт-3шт</p>
<p>рускус-15шт</p>
<p>натуральная упаковка</p>";4000
673;"Букет из орхидей ""Палермо""";"<p>гербера-3шт.</p>
<p>орхидея-6шт.</p>
<p>хризантема кустовая-5шт.</p>
<p>эвкалипт-2шт.</p>
<p>робилини-3шт.</p>
<p>монстера-3шт.</p>
<p>экзотическая зелень</p>
<p>упаковка сизаль</p>";3500
325;"Букет из орхидей ""Пампадур""";"<p>орхидея-11шт.</p>
<p>альстромерия-15шт.</p>
<p>эустома-10шт.</p>
<p>аспидистра-12шт.</p>
<p>фатсия-4шт.</p>
<p>декор</p>
<p>упаковка натуральный сизаль</p>";5000
778;"Букет из орхидей ""Сады Аризоны""";"<p>орхидея-2шт.</p>
<p>эустома-3шт.</p>
<p>хризантема кустовая-2шт.</p>
<p>протея-1шт.</p>
<p>гвоздика-3шт.</p>
<p>эвкалипт-2шт</p>
<p>лимониум-2шт.</p>
<p>аспидистра-4шт.</p>
<p>робилини-1шт.</p>
<p>фатсия-2шт.</p>
<p>бергасс</p>
<p>декор хлопок</p>
<p>натуральная упаковка</p>";2600
594;"Букет из орхидей ""Северное сияние""";"<p>роза-9шт.</p>
<p>орхидея-5шт.</p>
<p>аспидистра-8шт.</p>
<p>рускус-7шт.</p>
<p>робилини-4шт.</p>
<p>упаковка фетр</p>";2500
780;"Букет из орхидей ""Фрейлина""";"<p>орхидея-3шт.</p>
<p>гебера-2шт.</p>
<p>роза кустовая-2шт.</p>
<p>рускус-5шт.</p>
<p>аспидистра-13шт.</p>
<p>декор яблоко</p>
<p>упаковка сизаль</p>
<p>&nbsp;</p>";2000
319;"Букет из орхидей ""Фуэте""";"<p>орхидея-5шт.</p>
<p>роза кустовая-6шт.</p>
<p>гиперикум-5шт.</p>
<p>статица-3шт.</p>
<p>рускус-7шт.</p>
<p>аспидистра-7шт.</p>
<p>берграсс</p>
<p>экзотическая зелень</p>
<p>оформлениефетр,сетка.</p>
<p>&nbsp;</p>";2300
323;"Букет из орхидей ""Чунга Чанга""";"<p>бамбук-1шт.</p>
<p>ветка орхидеи цимбидиум-1шт.</p>
<p>аспидистра-3шт.</p>
<p>робилини-1шт.</p>
<p>берграсс</p>
<p>оформление лента</p>";1500
318;"Букет из орхидей ""Шлягер""";"<p>орхидея-1шт.</p>
<p>хризантема кустовая-1шт.</p>
<p>ирис-2шт.</p>
<p>рускус-4шт.</p>
<p>берграсс</p>
<p>оформление стеклянный стакан</p>";1000
799;"Букет из орхидей""Гламур""";"<p>калла-2шт.</p>
<p>орхидея сорта цимбидиум-3шт.</p>
<p>альстромерия-2шт.</p>
<p>леокадендрон-3шт.</p>
<p>аспидистра-17шт.</p>
<p>натуральный декор хлопок</p>
<p>упаковка сизаль</p>";2000
932;"Букет из роз "" Для тебя""";"<p>орхидея-3шт.</p>
<p>эустома-3шт.</p>
<p>роза-4шт.</p>
<p>роза кустовая-4шт.</p>
<p>статица-2шт.</p>
<p>берграсс</p>
<p>аспидистра-6шт.</p>
<p>упаковка сизаль</p>";1800
334;"Букет из роз ""Аваланж 15/60""";;1200
335;"Букет из роз ""Аваланж 15/70""";;1500
341;"Букет из роз ""Аваланж 25/60""";;2000
400;"Букет из роз ""Аваланж 75/70""";;7500
402;"Букет из роз ""Аваланж 75/70"" белый";"<p>роза 75 шт</p>";7500
796;"Букет из роз ""Аврора""";"<p>роза-15шт.</p>
<p>хризантема-4шт.</p>
<p>эустома-4шт.</p>
<p>гиперикум-1шт.</p>
<p>аспарагус-4шт.</p>
<p>кустовая роза-5шт.</p>
<p>лимониум-3шт.</p>
<p>робилини-2шт.</p>
<p>рускус-10шт.</p>
<p>аспидистра-4шт.</p>
<p>упаковка натуральный сизаль</p>";3800
559;"Букет из роз ""Акварель""";"<p>розы-15шт.</p>
<p>орхидея-3шт.</p>
<p>ирисы-5шт.</p>
<p>хризантема кустовая-6шт.</p>
<p>краспедия-2шт.</p>
<p>рускус-10шт.</p>
<p>робелини-3шт.</p>
<p>аспидистра-7шт.</p>
<p>аспарагус-7шт.</p>
<p>упаковка фетр,сетка</p>";5000
587;"Букет из роз ""Амиго""";"<p>роза-11шт.</p>
<p>хризантема кустовая-2шт.</p>
<p>альстромерия-4шт.</p>
<p>рускус-7шт.</p>
<p>салал-7шт.</p>
<p>солидаго-3шт.</p>
<p>упаковка сизал.</p>";2500
333;"Букет из роз ""Арлекино""";"<p>роза-15шт.</p>
<p>гиперикум-3шт.</p>
<p>лента</p>";1200
259;"Букет из роз ""Белоснежка 25""";"<p>роза Мандиаль-25шт.</p>
<p>лента</p>";2500
561;"Букет из роз ""Венеция""";"<p>роза кустовая-11шт.</p>
<p>роза одноголовая-29шт.</p>
<p>гиперикум-5шт.</p>
<p>гипсофила-3шт.</p>
<p>салал-9шт.</p>
<p>берграсс</p>";5000
431;"Букет из роз ""Веселый ералаш""";"<p>роза-11шт.</p>
<p>хризантема кустовая-4шт.</p>
<p>гербера-2шт.</p>
<p>астер-3шт.</p>
<p>каркас</p>";2500
785;"Букет из роз ""Вояж""";"<p>гербера-3шт.</p>
<p>роза-5шт.</p>
<p>хризантема кустовая-3шт.</p>
<p>кустоваяроза-3шт.</p>
<p>статица-2шт.</p>
<p>эвкалипт-3шт.</p>
<p>папоротник-5шт.</p>
<p>упаковка крафт,фетр</p>";2400
